m       s*     sc     sb    
65771   4.885  4.885  2.731  
65772   4.836  4.836  2.731  
65773   4.591  4.591  2.731  
65774   4.499  4.499  2.731  
65775   4.363  4.363  2.731  
65776   4.393  4.393  2.731  
65777   4.589  4.589  2.731  
65778   4.329  4.329  2.731  
65779   4.256  4.256  2.731  
65780   4.081  4.081  2.731  
65781   3.938  3.938  2.731  
65782   3.734  3.734  2.731  
65783   3.933  3.933  2.731  
65784   3.842  3.842  2.731  
65785   3.75   3.75   2.731  
65786   3.837  3.837  2.731  
65787   4.133  4.133  2.731  
65788   4.109  4.109  2.731  
65789   4.059  4.059  2.731  
65790   3.999  3.999  2.731  
65791   3.871  3.871  2.731  
65792   3.949  3.871  2.731  
65793   3.844  3.844  2.731  
65794   3.858  3.858  2.731  
65795   3.582  3.582  2.731  
65796   4.41   4.41   2.731  
65797   4.188  4.188  2.731  
65798   4.283  4.283  2.731  
65799   4.348  4.348  2.731  
65800   4.16   4.16   2.731  
65801   4.119  4.119  2.731  
65802   4.141  4.141  2.731  
65803   4.01   4.01   2.731  
65804   3.87   3.87   2.731  
65805   3.817  3.817  2.731  
65806   3.786  3.786  2.731  
65807   3.919  3.919  2.731  
65808   3.832  3.832  2.731  
65809   3.616  3.616  2.731  
65810   3.563  3.563  2.731  
65811   3.844  3.563  2.731  
65812   3.703  3.703  2.731  
65813   4.019  3.703  2.731  
65814   3.716  3.716  2.731  
65815   4.386  4.386  2.731  
65816   4.447  4.447  2.731  
65817   4.377  4.377  2.731  
65818   4.163  4.163  2.731  
65819   4.126  4.126  2.731  
65820   4.542  4.126  2.731  
65821   4.201  4.201  2.731  
65822   3.905  3.905  2.731  
65823   3.813  3.813  2.731  
65824   4.185  4.185  2.731  
65825   3.989  3.989  2.731  
65826   3.813  3.813  2.731  
65827   4.1    4.1    2.731  
65828   3.808  3.808  2.731  
65829   3.734  3.734  2.731  
65830   4.092  4.092  2.731  
65831   3.937  3.937  2.731  
65832   3.827  3.827  2.731  
65833   3.61   3.61   2.731  
65834   3.88   3.61   2.731  
65835   4.265  4.265  2.731  
65836   4.194  4.194  2.731  
65837   4.282  4.282  2.731  
65838   4.319  4.319  2.731  
65839   4.147  4.147  2.731  
65840   3.854  3.854  2.731  
65841   3.879  3.879  2.731  
65842   3.72   3.72   2.731  
65843   3.943  3.943  2.731  
65844   3.786  3.786  2.731  
65845   3.623  3.623  2.731  
65846   3.476  3.476  2.731  
65847   3.343  3.343  2.731  
65848   3.473  3.473  2.731  
